Date,Close,Volume
26-Jun-08,6.6,17755
27-Jun-08,6.6,22500
30-Jun-08,6.6,30165
1-Jul-08,6.5,42750
2-Jul-08,6.65,38500
3-Jul-08,6.64,13402
7-Jul-08,6.5,41011
8-Jul-08,6.54,32745
9-Jul-08,6.58,15469
10-Jul-08,6.65,17825
11-Jul-08,6.24,26748
14-Jul-08,6.45,34500
15-Jul-08,6.26,30052
16-Jul-08,6.52,33354
17-Jul-08,6.32,40887
18-Jul-08,6.19,36411
21-Jul-08,6.17,24945
22-Jul-08,6.24,70540
23-Jul-08,6.55,36520
24-Jul-08,6.22,32400
25-Jul-08,6.58,12300
28-Jul-08,6.2,72100
29-Jul-08,6.2,20250
30-Jul-08,6.2,31107
31-Jul-08,6.2,16100
1-Aug-08,6.15,10440
4-Aug-08,6.12,25394
5-Aug-08,6.11,16708
6-Aug-08,6.19,36775
7-Aug-08,6.13,22700
8-Aug-08,4.49,295770
11-Aug-08,4.61,110315
12-Aug-08,4.48,59413
13-Aug-08,4.43,51778
14-Aug-08,4.64,53351
15-Aug-08,4.48,52406
18-Aug-08,4.52,126008
19-Aug-08,4.49,203600
20-Aug-08,4.57,19810
21-Aug-08,4.61,14505
22-Aug-08,4.48,20588
25-Aug-08,4.65,43644
26-Aug-08,4.51,10850
27-Aug-08,4.37,33328
28-Aug-08,4.42,70240
29-Aug-08,4.35,75087
2-Sep-08,4.07,99402
3-Sep-08,4.23,44800
4-Sep-08,4.06,49668
5-Sep-08,3.8,257655
8-Sep-08,3.8,64560
9-Sep-08,3.89,115475
10-Sep-08,3.65,155896
11-Sep-08,3.63,134206
12-Sep-08,3.8,41900
15-Sep-08,3.65,23050
16-Sep-08,3.55,103687
17-Sep-08,3.42,80613
18-Sep-08,3.3,126877
19-Sep-08,3.3,251526
22-Sep-08,3.41,231344
23-Sep-08,3.48,264652
24-Sep-08,3.28,129769
25-Sep-08,3.37,126197
